id,name,theme,version_control,reference_dataset,endorser,provider_link,description,short_description
2.5,Net ecosystem carbon balance,Land and land ice,version 1 - 24-11-04 REF launch,HOFFMAN-1-0,CMIP Model Benchmarking Task Team,https://doi.org/10.1029/2018MS001354,,Comparison of the model integrated land net ecosystem carbon balance with reference data from HOFFMAN-1-0
2.6,Leaf area index (LAI),Land and land ice,version 1 - 24-11-04 REF launch,"NOAA-NCEI-LAI-5-0, LAI4g-1-2",CMIP Model Benchmarking Task Team,https://doi.org/10.1029/2018MS001354,,"Apply the ILAMB Methodology* to compare the model leaf area index (LAI) with reference data from NOAA-NCEI-LAI-5-0, and LAI4g-1-2"
2.7,Snow cover,Land and land ice,version 1 - 24-11-04 REF launch,CCI-CryoClim-FSC-1,CMIP Model Benchmarking Task Team,https://doi.org/10.1029/2018MS001354,,Apply the ILAMB Methodology* to compare the model snow cover with reference data from CCI-CryoClim-FSC-1
3.1,Annual cycle and seasonal mean of multiple variables,Atmosphere,version 1 - 24-11-04 REF launch,"C3S-GTO-ECV-9-0, SAGE-CCI-OMPS-v0008, ERA-5",CMIP Model Benchmarking Task Team,http://pcmdi.github.io/pcmdi_metrics/examples/Demo_1b_mean_climate.html,,"Maps of seasonal and annual climatology are generated for the reference datasets and model output on a target grid (2.5x2.5 deg), then calculate diverse metrics including bias, RMSE, spatial pattern correlation, and standard deviation."
3.2,Radiative and heat fluxes at the surface and top of atmosphere (TOA),Atmosphere,version 1 - 24-11-04 REF launch,CERES-EBAF-4-2,CMIP Model Benchmarking Task Team,http://pcmdi.github.io/pcmdi_metrics/examples/Demo_1a_compute_climatologies.html,,"Maps of seasonal and annual climatology are generated for the reference dataset and model output on a target grid (2.5x2.5 deg), then calculate diverse metrics including bias, RMSE, spatial pattern correlation, and standard deviation."
3.3,"Climate variability modes (e.g., ENSO, Madden-Julian Oscillation (MJO), Extratropical modes of variability, monsoon)",Atmosphere,version 1 - 24-11-04 REF launch,"20CR-V2, HadISST-1-1",CMIP Model Benchmarking Task Team,http://pcmdi.github.io/pcmdi_metrics/metrics.html,,"For extratropical modes of variability, maps of variability mode pattern and thier principal component time series are generated from the reference dataset and model output. Then maps are compared to calculate bias, RMSE, and spatial pattern correlation, and time series are compared to calculate the ratio from their stand deviations."
3.6,Cloud radiative effects,Atmosphere,version 1 - 24-11-04 REF launch,"CALIPSO-ICECLOUD-1-0, ESACCI-CLOUD-AVHRR-AMPM-3-0, CERES-EBAF-4-2, ERA-5, GPCP-SG-2-3",CMIP Model Benchmarking Task Team,https://docs.esmvaltool.org/en/latest/recipes/recipe_ref.html,,Maps and zonal means of longwave and shortwave cloud radiative effect
3.7,Scatterplots of two cloud-relevant variables (for specific regions of the globe and specific cloud regimes),Atmosphere,version 1 - 24-11-04 REF launch,"CALIPSO-ICECLOUD-1-0, ESACCI-CLOUD-AVHRR-AMPM-3-0, CERES-EBAF-4-2, ERA-5, GPCP-SG-2-3",CMIP Model Benchmarking Task Team,https://docs.esmvaltool.org/en/latest/recipes/recipe_ref.html,,2D histograms with focus on clouds
4.1,Equilibrium climate sensitivity (ECS),Earth System,version 1 - 24-11-04 REF launch,,CMIP Model Benchmarking Task Team,https://docs.esmvaltool.org/en/latest/recipes/recipe_ecs.html,,Equilibrium climate sensitivity is defined as the change in global mean temperature as a result of a doubling of the atmospheric CO2 concentration compared to pre-industrial times after the climate system has reached a new equilibrium. This diagnostic uses a regression method based on Gregory et al. (2004).
4.2,Transient climate response (TCR),Earth System,version 1 - 24-11-04 REF launch,,CMIP Model Benchmarking Task Team,https://docs.esmvaltool.org/en/latest/recipes/recipe_tcr.html,,"The transient climate response (TCR) is defined as the global and annual mean surface air temperature anomaly in the 1pctCO2 scenario (1% CO2 increase per year) for a 20 year period centered at the time of CO2 doubling, i.e. using the years 61 to 80 after the start of the simulation. We calculate the temperature anomaly by subtracting a linear fit of the piControl run for all 140 years of the 1pctCO2 experiment prior to the TCR calculation (see Gregory and Forster, 2008)."
4.3,Transient climate response to cumulative emissions of carbon dioxide (TCRE),Earth System,version 1 - 24-11-04 REF launch,,CMIP Model Benchmarking Task Team,https://docs.esmvaltool.org/en/latest/recipes/recipe_tcre.html,,"The idea that global temperature rise is directly proportional to the total amount of carbon dioxide (CO2) released into the atmosphere is fundamental to climate policy. The concept stems from research showing a clear linear relationship between cumulative CO2 emissions and global temperature change in climate models (Allen et al. 2009; Matthews et al. 2009; Zickfeld et al. 2009). This relationship is called the Transient Climate Response to Cumulative CO2 Emissions (TCRE), which represents the amount of global warming caused by each trillion tonnes of carbon emitted. This simple yet powerful tool allows policymakers to directly link emission budgets to specific temperature targets and compare the long-term effects of different emissions scenarios."
4.4,Zero emissions commitment (ZEC),Earth System,version 1 - 24-11-04 REF launch,,CMIP Model Benchmarking Task Team,https://docs.esmvaltool.org/en/latest/recipes/recipe_zec.html,,"The Zero Emissions Commitment (ZEC) quantifies the change in global mean temperature expected to occur after net carbon dioxide (CO2) emissions cease. ZEC is therefore important to consider when estimating the remaining carbon budget. Calculation of ZEC requires dedicated simulations with emissions set to zero, branching off a base simulation with emissions. In CMIP6 the simulations were part of ZECMIP, with the simulations called esm-1pct-brch-xPgC branching off the 1pctCO2 simulation when emissions reach x PgC. The default x was 1000PgC, with additional simulations for 750PgC and 2000PgC. In CMIP7, ZEC simulations (esm-flat10-zec) are part of the fast track and branch off (esm-flat10) with constant emissions of 10GtC/yr at year 100 (Sanderson 2024)."
4.5,"Historical changes in climate variables (time series, trends)",Earth System,version 1 - 24-11-04 REF launch,"HadCRUT5-0-2-0, CERES-EBAF-4-2, ERA-5, GPCP-SG-2-3, HadISST-1-1",CMIP Model Benchmarking Task Team,https://docs.esmvaltool.org/en/latest/recipes/recipe_ref.html,,"Time series, linear trend, and annual cycle for IPCC regions"
5.3,Evaluation of key climate variables at global warming levels,Impacts and Adaptation,version 1 - 24-11-04 REF launch,"GPCP-SG-2-3, HadCRUT5-0-2-0",CMIP Model Benchmarking Task Team,https://docs.esmvaltool.org/en/latest/recipes/recipe_calculate_gwl_exceedance_stats.html,,"This diagnostic calculates years of Global Warming Level (GWL) exceedances in CMIP models as described in Swaminathan et al (2022). Time series of the anomalies in annual global mean surface air temperature (GSAT) are calculated with respect to the 1850-1900 time-mean of each individual time series. To limit the influence of short-term variability, a 21-year centered running mean is applied to the time series. The year at which the time series exceeds warming levels or temperatures such as 1.5C is then recorded for the specific model ensemble member and future scenario. Once the years of exceedance are calculated, the time averaged global mean and standard deviation for the multimodel ensemble over the 21-year period around the year of exceedance are plotted."
5.4,"Climate drivers for fire (fire burnt area, fire weather and fuel continuity)",Impacts and Adaptation,version 1 - 24-11-04 REF launch,GFED-5 (source_id not confirmed),CMIP Model Benchmarking Task Team,https://docs.esmvaltool.org/en/latest/recipes/recipe_ref_fire.html,,"The diagnostic relies on the processing of fire climate drivers through the ConFire model and is based on Jones et al. (2024). The diagnostic computes the burnt fraction for each grid cell based on a number of drivers. Additionally, the respective controls due to fire weather and fuel load/continuity are computed. The stochastic control corresponds to the unmodelled processed influencing to fire occurrence."
